sample.yr	plot	subplot	Snr	d.msrd	year	direction	radius	wid.e	wid.l	wg	wg.mn	wg.mx	wg.e	wg.l
2024	3	4	2	168.5	2008		0.381							
2024	3	4	2	168.5	2007		0.473							
2024	3	4	2	168.5	2006		0.522							
2024	3	4	2	168.5	2005		0.741							
2024	3	4	2	168.5	2004		0.702							
2024	3	4	2	168.5	2003		0.487							
2024	3	4	2	168.5	2002		0.617							
2024	3	4	2	168.5	2001		0.441							
2024	3	5	2	125.5	2024		0.247							
2024	3	5	2	125.5	2023		0.214							
2024	3	5	2	125.5	2022		0.262							
2024	3	5	2	125.5	2021		0.224							
2024	3	5	2	125.5	2020		0.176							
2024	3	5	2	125.5	2019		0.197							
2024	3	5	2	125.5	2018		0.116							
2024	3	5	2	125.5	2017		0.187							
2024	3	5	2	125.5	2016		0.261							
2024	3	5	2	125.5	2015		0.353							
2024	3	5	2	125.5	2014		0.236							
2024	3	5	2	125.5	2013		0.271							
2024	3	5	2	125.5	2012		0.316							
2024	3	5	2	125.5	2011		0.373							
2024	3	5	2	125.5	2010		0.273							
2024	3	5	2	125.5	2009		0.327							
2024	3	5	2	125.5	2008		0.423							
2024	3	5	2	125.5	2007		0.524							
2024	3	5	2	125.5	2006		0.480							
2024	3	5	2	125.5	2005		0.672							
2024	3	5	2	125.5	2004		0.633							
2024	3	5	2	125.5	2003		0.525							
2024	3	5	2	125.5	2002		0.660							
2024	3	5	2	125.5	2001		0.836							
2024	3	5	3	218.0	2024		1.253							
2024	3	5	3	218.0	2023		1.161							
2024	3	5	3	218.0	2022		0.851							
2024	3	5	3	218.0	2021		0.994							
2024	3	5	3	218.0	2020		0.661							
2024	3	5	3	218.0	2019		0.679							
2024	3	5	3	218.0	2018		0.594							
2024	3	5	3	218.0	2017		0.661							
2024	3	5	3	218.0	2016		0.912							
2024	3	5	3	218.0	2015		0.953							
2024	3	5	3	218.0	2014		1.102							
2024	3	5	3	218.0	2013		1.042							
2024	3	5	3	218.0	2012		1.123							
2024	3	5	3	218.0	2011		1.377							
2024	3	5	3	218.0	2010		1.083							
2024	3	5	3	218.0	2009		1.136							
2024	3	5	3	218.0	2008		1.038							
2024	3	5	3	218.0	2007		1.396							
2024	3	5	3	218.0	2006		1.318							
2024	3	5	3	218.0	2005		1.653							
2024	3	5	3	218.0	2004		1.318							
2024	3	5	3	218.0	2003		1.442							
2024	3	5	3	218.0	2002		1.190							
2024	3	5	3	218.0	2001		1.206							
2024	3	5	1	238.0	2024		1.247							
2024	3	5	1	238.0	2023		1.079							
2024	3	5	1	238.0	2022		1.374							
2024	3	5	1	238.0	2021		1.332							
2024	3	5	1	238.0	2020		0.782							
2024	3	5	1	238.0	2019		1.058							
2024	3	5	1	238.0	2018		0.901							
2024	3	5	1	238.0	2017		1.194							
2024	3	5	1	238.0	2016		1.183							
2024	3	5	1	238.0	2015		1.394							
2024	3	5	1	238.0	2014		1.542							
2024	3	5	1	238.0	2013		1.378							
2024	3	5	1	238.0	2012		1.782							
2024	3	5	1	238.0	2011		2.233							
2024	3	5	1	238.0	2010		1.545							
2024	3	5	1	238.0	2009		1.757							
2024	3	5	1	238.0	2008		1.881							
2024	3	5	1	238.0	2007		2.004							
2024	3	5	1	238.0	2006		1.717							
2024	3	5	1	238.0	2005		2.024							
2024	3	5	1	238.0	2004		1.960							
2024	3	5	1	238.0	2003		0.952							
2024	3	5	1	238.0	2002		1.270							
2024	3	5	1	238.0	2001		1.101							
2024	3	5	4	171.0	2024		0.458							
2024	3	5	4	171.0	2023		0.557							
2024	3	5	4	171.0	2022		0.557							
2024	3	5	4	171.0	2021		0.686							
2024	3	5	4	171.0	2020		0.369							
2024	3	5	4	171.0	2019		0.356							
2024	3	5	4	171.0	2018		0.328							
2024	3	5	4	171.0	2017		0.428							
2024	3	5	4	171.0	2016		0.533							
2024	3	5	4	171.0	2015		0.556							
2024	3	5	4	171.0	2014		0.616							
2024	3	5	4	171.0	2013		0.375							
