plot	Snr	d.underbark	variable	value	year
3	26	0.130758	X2003	0.529	2003
3	27	0.223796	X2003	1.736	2003
3	28	0.186042	X2003	1.763	2003
3	29	0.232785	X2003	1.272	2003
3	30	0.181098	X2003	0.916	2003
3	31	0.213009	X2003	1.102	2003
3	32	0.127163	X2003	1.065	2003
3	33	0.163569	X2003	1.3	2003
3	34	0.215256	X2003	1.653	2003
3	35	0.17076	X2003	1.432	2003
3	36	0.180199	X2003	1.314	2003
2	1	0.106937	X2002	0.26	2002
2	2	0.2202	X2002	1.314	2002
2	3	0.159074	X2002	1.717	2002
2	4	0.186491	X2002	1.055	2002
2	5	0.218403	X2002	1.185	2002
2	6	0.193233	X2002	1.381	2002
2	7	0.125814	X2002	0.771	2002
2	8	0.209863	X2002	1.397	2002
2	9	0.141096	X2002	0.826	2002
2	10	0.226043	X2002	1.853	2002
2	11	0.155928	X2002	1.567	2002
2	12	0.193682	X2002	2.19	2002
2	13	0.166266	X2002	1.63	2002
2	14	0.110982	X2002	1.14	2002
2	15	0.20402	X2002	0.931	2002
2	16	0.226942	X2002	1.315	2002
2	17	0.194581	X2002	1.185	2002
2	18	0.15413	X2002	0.55	2002
3	19	0.0966	X2002	0.584	2002
3	20	0.161322	X2002	1.101	2002
3	21	0.213459	X2002	0.817	2002
3	22	0.194132	X2002	1.259	2002
3	23	0.191435	X2002	1.116	2002
3	24	0.255258	X2002	1.51	2002
3	25	0.161771	X2002	0.599	2002
3	26	0.130758	X2002	0.486	2002
3	27	0.223796	X2002	1.397	2002
3	28	0.186042	X2002	1.333	2002
3	29	0.232785	X2002	1.185	2002
3	30	0.181098	X2002	0.719	2002
3	31	0.213009	X2002	1.272	2002
3	32	0.127163	X2002	0.89	2002
3	33	0.163569	X2002	1.2	2002
3	34	0.215256	X2002	1.694	2002
3	35	0.17076	X2002	1.35	2002
3	36	0.180199	X2002	1.165	2002
2	1	0.106937	X2001	0.141	2001
2	2	0.2202	X2001	1.691	2001
2	3	0.159074	X2001	2.034	2001
2	4	0.186491	X2001	1.353	2001
2	5	0.218403	X2001	1.146	2001
2	6	0.193233	X2001	1.499	2001
2	7	0.125814	X2001	0.628	2001
2	8	0.209863	X2001	1.545	2001
2	9	0.141096	X2001	0.827	2001
2	10	0.226043	X2001	1.821	2001
2	11	0.155928	X2001	1.568	2001
2	12	0.193682	X2001	2.109	2001
2	13	0.166266	X2001	2.094	2001
2	14	0.110982	X2001	0.927	2001
2	15	0.20402	X2001	1.159	2001
2	16	0.226942	X2001	1.146	2001
2	17	0.194581	X2001	1.585	2001
2	18	0.15413	X2001	0.804	2001
3	19	0.0966	X2001	0.532	2001
3	20	0.161322	X2001	1.099	2001
3	21	0.213459	X2001	1.131	2001
3	22	0.194132	X2001	1.368	2001
3	23	0.191435	X2001	0.748	2001
3	24	0.255258	X2001	1.857	2001
3	25	0.161771	X2001	0.629	2001
3	26	0.130758	X2001	0.371	2001
3	27	0.223796	X2001	1.352	2001
3	28	0.186042	X2001	1.15	2001
3	29	0.232785	X2001	1.609	2001
3	30	0.181098	X2001	0.711	2001
3	31	0.213009	X2001	1.187	2001
3	32	0.127163	X2001	1.102	2001
3	33	0.163569	X2001	1.272	2001
3	34	0.215256	X2001	1.27	2001
3	35	0.17076	X2001	1.098	2001
3	36	0.180199	X2001	1.414	2001
2	1	0.106937	X2000	0.134	2000
2	2	0.2202	X2000	1.017	2000
2	3	0.159074	X2000	1.314	2000
2	4	0.186491	X2000	1.097	2000
2	5	0.218403	X2000	0.889	2000
2	6	0.193233	X2000	1.163	2000
2	7	0.125814	X2000	0.478	2000
2	8	0.209863	X2000	0.975	2000
2	9	0.141096	X2000	0.531	2000
2	10	0.226043	X2000	1.187	2000
2	11	0.155928	X2000	0.721	2000
2	12	0.193682	X2000	1.142	2000
2	13	0.166266	X2000	1.546	2000
2	14	0.110982	X2000	0.808	2000
2	15	0.20402	X2000	1.184	2000
2	16	0.226942	X2000	0.932	2000
2	17	0.194581	X2000	0.872	2000
2	18	0.15413	X2000	0.719	2000
3	19	0.0966	X2000	0.55	2000
3	20	0.161322	X2000	1.013	2000
3	21	0.213459	X2000	1.143	2000
3	22	0.194132	X2000	1.272	2000
3	23	0.191435	X2000	0.862	2000
3	24	0.255258	X2000	1.255	2000
3	25	0.161771	X2000	0.677	2000
3	26	0.130758	X2000	0.264	2000
3	27	0.223796	X2000	1.228	2000
3	28	0.186042	X2000	1.035	2000
3	29	0.232785	X2000	1.526	2000
3	30	0.181098	X2000	0.8	2000
3	31	0.213009	X2000	1.145	2000
3	32	0.127163	X2000	0.848	2000
3	33	0.163569	X2000	1.286	2000
3	34	0.215256	X2000	1.183	2000
3	35	0.17076	X2000	0.973	2000
3	36	0.180199	X2000	1.38	2000
2	1	0.106937	X1999	0.174	1999
2	2	0.2202	X1999	1.271	1999
2	3	0.159074	X1999	1.314	1999
2	4	0.186491	X1999	1.058	1999
2	5	0.218403	X1999	0.954	1999
2	6	0.193233	X1999	0.872	1999
2	7	0.125814	X1999	0.666	1999
2	8	0.209863	X1999	0.954	1999
2	9	0.141096	X1999	0.55	1999
2	10	0.226043	X1999	1.187	1999
2	11	0.155928	X1999	0.763	1999
2	12	0.193682	X1999	1.225	1999
2	13	0.166266	X1999	1.143	1999
2	14	0.110982	X1999	1.015	1999
2	15	0.20402	X1999	0.834	1999
2	16	0.226942	X1999	0.975	1999
2	17	0.194581	X1999	0.908	1999
2	18	0.15413	X1999	0.634	1999
3	19	0.0966	X1999	0.55	1999
3	20	0.161322	X1999	0.841	1999
3	21	0.213459	X1999	1.242	1999
3	22	0.194132	X1999	0.892	1999
3	23	0.191435	X1999	0.692	1999
3	24	0.255258	X1999	1.185	1999
3	25	0.161771	X1999	0.889	1999
3	26	0.130758	X1999	0.37	1999
3	27	0.223796	X1999	1.363	1999
3	28	0.186042	X1999	0.894	1999
3	29	0.232785	X1999	1.568	1999
3	30	0.181098	X1999	0.739	1999
3	31	0.213009	X1999	1.187	1999
3	32	0.127163	X1999	0.89	1999
3	33	0.163569	X1999	0.833	1999
3	34	0.215256	X1999	1.148	1999
3	35	0.17076	X1999	1.141	1999
3	36	0.180199	X1999	1.502	1999
2	1	0.106937	X1998	0.138	1998
2	2	0.2202	X1998	1.102	1998
2	3	0.159074	X1998	1.228	1998
2	4	0.186491	X1998	0.845	1998
2	5	0.218403	X1998	0.654	1998
2	6	0.193233	X1998	0.914	1998
2	7	0.125814	X1998	0.593	1998
2	8	0.209863	X1998	1.102	1998
2	9	0.141096	X1998	0.509	1998
2	10	0.226043	X1998	1.313	1998
2	11	0.155928	X1998	0.817	1998
2	12	0.193682	X1998	1.222	1998
2	13	0.166266	X1998	1.227	1998
2	14	0.110982	X1998	1.104	1998
2	15	0.20402	X1998	0.883	1998
2	16	0.226942	X1998	0.975	1998
2	17	0.194581	X1998	0.914	1998
2	18	0.15413	X1998	0.678	1998
3	19	0.0966	X1998	0.647	1998
3	20	0.161322	X1998	1.136	1998
3	21	0.213459	X1998	1.041	1998
3	22	0.194132	X1998	1.265	1998
3	23	0.191435	X1998	0.889	1998
3	24	0.255258	X1998	1.574	1998
3	25	0.161771	X1998	0.804	1998
3	26	0.130758	X1998	0.624	1998
3	27	0.223796	X1998	1.317	1998
3	28	0.186042	X1998	0.954	1998
3	29	0.232785	X1998	1.399	1998
3	30	0.181098	X1998	0.998	1998
3	31	0.213009	X1998	1.144	1998
3	32	0.127163	X1998	0.805	1998
3	33	0.163569	X1998	0.901	1998
3	34	0.215256	X1998	1.059	1998
3	35	0.17076	X1998	1.14	1998
3	36	0.180199	X1998	1.617	1998
