plot	repID	d.cm	RingCount	PathLength	variable	value	radius	year
C	57	18.1	55	42.9563	X2002	1.524	1.524	2002
E	54	17.2	58	63.5423	X2002	1.059	1.059	2002
E	56	17.8	60	56.3447	X2002	0.465	0.465	2002
E	80	25.5	37	60.8427	X2002	2.031	2.031	2002
E	82	26.1	47	65.3303	X2002	1.904	1.904	2002
E	88	28	49	60.0893	X2002	1.651	1.651	2002
F	1	12.3	64	45.7905	X2002	0.506	0.506	2002
F	1	18.2	50	65.5565	X2002	1.332	1.332	2002
F	1	30.3	34	79.375	X2002	1.99	1.99	2002
F	2	16	55	47.6059	X2002	0.815	0.815	2002
F	2	18.5	58	53.1488	X2002	1.101	1.101	2002
F	2	28	49	61.2615	X2002	0.873	0.873	2002
F	3	16.7	68	69.5974	X2002	1.736	1.736	2002
F	3	20.2	50	64.7459	X2002	1.771	1.771	2002
F	3	25.5	51	78.7512	X2002	1.646	1.646	2002
N	3	19	49	55.0077	X2002	1.688	1.688	2002
N	35	11.1	57	46.5744	X2002	0.258	0.258	2002
N	110	35	141	75.2227	X2002	0.348	0.348	2002
S	40	12.7	48	35.4506	X2002	0.465	0.465	2002
S	46	14.6	56	52.6239	X2002	0.788	0.788	2002
S	80	25.5	61	59.3595	X2002	1.672	1.672	2002
S	82	26.1	48	47.6494	X2002	1.46	1.46	2002
W	1	12.3	70	48.3875	X2002	0.889	0.889	2002
W	2	14.5	58	48.1658	X2002	1.857	1.857	2002
W	3	25.5	45	67.6176	X2002	2.094	2.094	2002
C	1	14	55	40.692	X2003	0.423	0.423	2003
C	1	20.7	51	54.9881	X2003	1.061	1.061	2003
C	1	27.2	55	83.3176	X2003	1.401	1.401	2003
C	2	10.6	54	38.1425	X2003	0.762	0.762	2003
C	2	14.7	56	51.6265	X2003	0.614	0.614	2003
C	2	25.7	58	65.2647	X2003	1.584	1.584	2003
C	3	14	58	44.6249	X2003	0.571	0.571	2003
C	3	23.5	49	66.7462	X2003	0.994	0.994	2003
