Snr	disk	path	wd	year	rwd
4	3	3	2.063	1986	0.0441812652589198
4	3	4	1.641	1986	0.0350933470199525
5	2	1	1.554	1986	0.0352708867654736
5	2	2	2.09	1986	0.0309762712869233
5	2	3	1.975	1986	0.0347937917305287
5	2	4	1.94	1986	0.0382846880981983
6	3	1	1.8	1991	0.0281219241645445
6	3	2	1.961	1991	0.0326110455157734
6	3	3	1.866	1991	0.0309365518842117
6	3	4	1.682	1991	0.0268956474463526
7	3	1	2.094	1993	0.0540931518173129
7	3	2	3.184	1993	0.0877812086457874
7	3	3	2.779	1993	0.0713662044170519
7	3	4	2.286	1993	0.0607316489997609
8	4	1	1.238	1998	0.0266471512516412
8	4	2	1.158	1998	0.0263589183283256
8	4	3	1.761	1998	0.0369461228600201
8	4	4	1.032	1998	0.0246083410830532
9	3	1	2.317	1998	0.0435264502554854
9	3	2	2.499	1998	0.0445383093621344
9	3	3	2.251	1998	0.0439742913516576
9	3	4	2.349	1998	0.0434131736526946
10	2	1	1.803	1985	0.0365157161373947
10	2	2	1.793	1985	0.0366719162252265
10	2	3	2.091	1985	0.0396917294660314
10	2	4	1.676	1985	0.0351642818178003
11	3	1	2.633	1986	0.0435220999041291
11	3	2	2.4	1986	0.0387446726075165
11	3	3	2.032	1986	0.0413579744362127
11	3	4	2.603	1986	0.0402187852474467
12	3	1	2.477	1990	0.0372621286197819
12	3	2	2.024	1990	0.0323767476085357
12	3	3	2.126	1990	0.0347306171790767
12	3	4	2.589	1990	0.0415863531225906
1	3	1	1	1989	0.0331652958344388
1	3	2	0.95	1989	0.0284175889919234
1	3	3	1	1989	0.030475726084174
1	3	4	0.857	1989	0.0283972298618244
2	3	1	0.984	1994	0.0224950277758727
2	3	2	0.857	1994	0.0219400424976319
2	3	3	1.079	1994	0.0290553640672124
2	3	4	0.851	1994	0.0220912725195992
3	3	1	1.17	1991	0.0236420950533463
3	3	2	1.492	1991	0.0302275167649264
3	3	3	1.237	1991	0.0259481456620238
3	3	4	1.713	1991	0.0331001700417375
4	3	1	1.192	1987	0.0246719377406135
4	3	2	1.365	1987	0.0277067348678602
4	3	3	1.206	1987	0.0258277294727374
4	3	4	1.038	1987	0.0221979855007378
5	2	1	1.331	1987	0.0302094918177898
5	2	2	1.809	1987	0.0268115190229877
5	2	3	1.851	1987	0.0326092701231436
5	2	4	1.659	1987	0.032739328636552
6	3	1	2.077	1992	0.0324495758276439
6	3	2	1.898	1992	0.0315633678678928
6	3	3	1.807	1992	0.0299583865245287
6	3	4	1.967	1992	0.0314528766509962
7	3	1	2.349	1994	0.060680426752086
7	3	2	2.602	1994	0.0717357741508602
7	3	3	2.473	1994	0.0635079609655881
7	3	4	2.095	1994	0.0556573948619856
8	4	1	1.27	1999	0.0273359306054801
8	4	2	1.283	1999	0.0292042247109169
8	4	3	1.555	1999	0.0326242027526015
8	4	4	1.27	1999	0.0302835205188735
9	3	1	2.095	1999	0.0393560264502555
9	3	2	1.934	1999	0.034468623571976
9	3	3	1.776	1999	0.0346949539940222
9	3	4	1.809	1999	0.0334331337325349
10	2	1	1.927	1986	0.0390270576798445
10	2	2	1.471	1986	0.0300861063955986
10	2	3	1.837	1986	0.0348702568288377
10	2	4	1.615	1986	0.0338844362385129
11	3	1	2.282	1987	0.0377202552150484
11	3	2	2.177	1987	0.0351446467777347
11	3	3	1.746	1987	0.0355369209476512
11	3	4	2.625	1987	0.040558705829638
12	3	1	1.936	1991	0.0291237307258368
12	3	2	2.106	1991	0.0336884537863519
12	3	3	1.778	1991	0.029045643153527
12	3	4	2.306	1991	0.0370406065278849
1	3	1	0.699	1990	0.0231825417882728
1	3	2	0.743	1990	0.0222255459168412
1	3	3	0.841	1990	0.0256300856367903
