plot	rep	nr	year	d	h	lc	bc	h.1	d.1	bc.1	lc.1
2	3	13	2005	0.1725	14.4535963290269	7.53441986077342	6.91917646825353	NA	NA	NA	NA
2	3	14	2005	0.1755	14.5692992817939	7.61927241742246	6.95002686437142	NA	NA	NA	NA
2	3	15	2005	0.145	13.2653826342928	6.71021854580357	6.55516408848924	NA	NA	NA	NA
2	3	16	2005	0.1455	13.2892688595351	6.72603169404442	6.56323716549068	NA	NA	NA	NA
2	3	17	2005	0.2065	15.6347751551705	8.44859022767397	7.18618492749654	NA	NA	NA	NA
2	3	18	2005	0.164	14.1118864252873	7.28894914058064	6.82293728470669	NA	NA	NA	NA
2	3	19	2005	0.205	15.5881295022857	8.4102569835262	7.17787251875952	NA	NA	NA	NA
2	3	20	2005	0.165	14.1531920694178	7.31822987150796	6.83496219790983	NA	NA	NA	NA
2	3	21	2005	0.1535	13.659170846204	6.97459670392864	6.68457414227534	NA	NA	NA	NA
2	3	22	2005	0.1505	13.5231124374373	6.88234657413013	6.64076586330717	NA	NA	NA	NA
2	3	23	2005	0.1815	14.7934805307203	7.7863441775183	7.00713635320202	NA	NA	NA	NA
2	3	24	2005	0.2185	15.9922926673426	8.74952346834469	7.24276919899792	NA	NA	NA	NA
2	3	25	2005	0.1725	14.4535963290269	7.53441986077342	6.91917646825353	NA	NA	NA	NA
2	3	26	2005	0.1465	13.3367635880208	6.75755750322925	6.57920608479155	NA	NA	NA	NA
2	3	27	2005	0.181	14.7751562403587	7.77255189950531	7.00260434085334	NA	NA	NA	NA
2	3	28	2005	0.066	7.89317400799447	3.64263724811288	4.25053675988159	NA	NA	NA	NA
2	3	29	2005	0.177	14.6262339350416	7.66136461043619	6.96486932460541	NA	NA	NA	NA
2	3	30	2005	0.147	13.360373096465	6.77327051785808	6.5871025786069	NA	NA	NA	NA
2	3	31	2005	0.1335	12.6891932077185	6.33683064152958	6.3523625661889	NA	NA	NA	NA
2	3	32	2005	0.16	13.9435879863507	7.17070820356471	6.77287978278594	NA	NA	NA	NA
2	3	33	2005	0.129	12.4488624575103	6.18536161949449	6.26350083801577	NA	NA	NA	NA
2	3	34	2005	0.2025	15.5093717671496	8.34599664157947	7.16337512557014	NA	NA	NA	NA
2	3	35	2005	0.156	13.7702095604911	7.05062210196877	6.71958745852235	NA	NA	NA	NA
