Snr	trt	year	age	wd	wde	wdl	swg	wge	wgl	ba	bai	baie	bail
3	F	2016	79	1.97	1.24	0.73	354.196050727083	298.148549946705	454.168350027331	42851.0225162294	1433.41982076093	899.410330707404	534.009490053526
3	F	2017	80	1.575	1.105	0.47	348.470688711196	303.074257820105	459.353883353014	44014.5714384459	1163.54892221648	814.69956245803	348.849359758453
3	F	2018	81	1.225	0.895	0.33	377.92976101406	309.810043789011	566.727941535382	44930.3295963049	915.758157859069	668.136254106794	247.621903752275
4	F	1945	1	2.54	0.555	1.985	369.008520583876	322.332872175789	376.619909495956	20.2682991638999	20.2682991638999	NA	NA
4	F	1946	2	0.905	0.51	0.395	354.731879661079	334.605666903903	380.243491548104	37.28450015262	17.0162009887201	8.95636649611914	8.05983449260096
4	F	1947	3	1.66	1.215	0.445	345.487316321636	317.112113129616	421.53472972895	81.8731246850199	44.5886245323999	30.9370692756745	13.6515552567254
4	F	1948	4	1.54	0.505	1.035	389.994035317194	358.519428434136	409.991555131377	138.720243751727	56.8471190667073	16.9993934680234	39.8477255986839
4	F	1949	5	1.65	1.425	0.225	346.032315841829	333.94196014046	421.510062858198	216.163644255369	77.443400503642	65.8756636540427	11.5677368495993
4	F	1950	6	1.215	0.81	0.405	365.256287126742	329.266439411455	438.612896722813	284.125953749926	67.962309494557	44.2776068596945	23.6847026348624
4	F	1951	7	0.945	0.745	0.2	349.585021945736	323.370250756546	446.677921096898	343.398146725756	59.2721929758296	46.2597162046607	13.012476771169
4	F	1952	8	1.005	0.73	0.275	349.106222647042	314.551710348939	441.203267778864	412.590389744193	69.1922430184375	49.6283674672887	19.5638755511487
4	F	1953	9	1.465	1.085	0.38	352.36007824751	312.691257081437	466.654106953188	524.820724240851	112.230334496658	81.824115839624	30.4062186570341
4	F	1954	10	1.665	1.3	0.365	351.048101771607	317.502987828903	466.097262395178	668.744859143617	143.924134902766	110.882512708452	33.0416221943142
4	F	1955	11	1.18	0.945	0.235	355.77782233587	319.772923519157	499.809574082458	781.291787639941	112.546928496324	89.435252361476	23.1116761348476
4	F	1956	12	1.03	0.815	0.215	344.573855861974	317.17016370581	448.016990784744	886.683110549183	105.391322909242	82.8416777001217	22.5496452091204
4	F	1957	13	0.94	0.675	0.265	364.319900108452	321.899313355306	472.361295811402	988.683084188875	101.999973639692	72.6827095362086	29.3172641034836
4	F	1958	14	0.855	0.635	0.22	354.523872221178	313.468190678911	473.566912263343	1086.28113674217	97.5980525532985	72.0462228645912	25.5518296887074
4	F	1959	15	0.84	0.65	0.19	365.119300366166	326.776996213841	496.936313735176	1186.63994237963	100.358805637456	77.2706129076944	23.0881927297621
4	F	1960	16	0.56	0.41	0.15	354.393882659036	312.808529493873	469.969298357822	1256.00882144502	69.3688790653855	50.5947213675331	18.7741576978524
4	F	1961	17	0.665	0.42	0.245	388.494367957503	317.085407357385	512.715598411482	1340.94358525059	84.9347638055756	53.3197388352567	31.6150249703189
4	F	1962	18	0.755	0.58	0.175	348.227861617425	315.201012178436	457.678678608968	1440.74138097993	99.7977957293417	76.3469846675393	23.4508110618024
