Snr	year	d	h	dd	dh	ba	bai	plot
3	2018	0.23918	19.87	0.00245	0.23	0.0449303295963049	0.000915758157859069	2
4	2002	0.1176	13.99	0.00428	0.275	0.0108618681042275	0.000776238535856643	2
4	2003	0.12117	14.32	0.00357	0.33	0.0115313484887511	0.000669480384523638	2
4	2004	0.12511	14.6	0.00394	0.28	0.0122934542558963	0.000762105767145202	2
4	2005	0.1291	14.875	0.00399	0.275	0.0130900819636942	0.00079662770779789	2
4	2006	0.13262	15.205	0.00352	0.33	0.013813633477476	0.000723551513781822	2
4	2007	0.13679	15.505	0.00417	0.3	0.0146959809545438	0.000882347477067777	2
4	2008	0.1422	15.755	0.00541	0.25	0.0158814105983537	0.00118542964380983	2
4	2009	0.14833	15.985	0.00613	0.23	0.0172801645935184	0.00139875399516471	2
4	2010	0.15461	16.23	0.00628	0.245	0.0187743556967296	0.00149419110321123	2
4	2011	0.16069	16.59	0.00608	0.36	0.0202799828255184	0.00150562712878883	2
4	2012	0.16682	16.75	0.00613	0.16	0.0218567766883085	0.00157679386279005	2
4	2013	0.17106	17.03	0.00424	0.28	0.0229819468936511	0.00112517020534262	2
4	2014	0.17538	17.19	0.00432	0.16	0.0241573901212735	0.00117544322762242	2
4	2015	0.1796	17.5	0.00422	0.31	0.0253339288222542	0.00117653870098072	2
4	2016	0.18292	17.695	0.00332	0.195	0.0262792076623411	0.000945278840086878	2
4	2017	0.18604	17.95	0.00312	0.255	0.0271833228422065	0.000904115179865428	2
4	2018	0.18814	18.2	0.0021	0.25	0.0278004714402446	0.000617148598038111	2
5	2002	0.16398	NA	0.0028	NA	0.0211189171049451	0.000715064187068881	2
5	2003	0.16665	NA	0.00267	NA	0.0218122525449653	0.000693335440020142	2
5	2004	0.16937	16.2	0.00272	NA	0.0225300863601176	0.000717833815152284	2
5	2005	0.17226	16.54	0.00289	0.34	0.0233055183706002	0.000775432010482644	2
5	2006	0.17484	16.78	0.00258	0.24	0.0240088565630896	0.000703338192489358	2
5	2007	0.17736	17.17	0.00252	0.39	0.024705931990624	0.000697075427534426	2
5	2008	0.18023	17.51	0.00287	0.34	0.0255119730095695	0.000806041018945474	2
5	2009	0.18413	17.89	0.0039	0.38	0.0266280269413499	0.00111605393178043	2
5	2010	0.18932	18.26	0.00519	0.37	0.0281502899813367	0.00152226303998683	2
5	2011	0.19388	18.625	0.00456	0.365	0.0295226884488721	0.0013723984675354	2
5	2012	0.19728	18.995	0.0034	0.37	0.0305672240238936	0.00104453557502146	2
