yta	avd	rev	år	mån	dag	nr	t_l	beha	p_kod	hojd	krong	b1	b2	dia	dia6m1	dia6m2	b6m1	b6m2	rc1	rc2
1471	32	1	2005	8	22	37	1	1	1	164	78	18	18	168.973370683075	0	0	0	0	0	0
1471	32	1	2005	8	22	45	1	1	1	181	102	20	20	194.935886896179	0	0	0	0	0	0
1471	32	1	2005	8	22	54	1	1	1	180	89	18	14	200	0	0	0	0	0	0
1471	32	1	2005	8	22	60	1	1	3	160	74	20	18	236.347202225878	0	0	0	0	0	0
1471	32	1	2005	8	22	63	1	1	1	146	79	16	16	160.499221181911	0	0	0	0	0	0
1471	32	1	2005	8	22	66	1	1	3	169	92	20	18	241.487059694717	0	0	0	0	0	0
1471	32	1	2005	8	22	72	1	1	1	155	84	12	12	143.492160064583	0	0	0	0	0	0
1471	32	1	2005	8	22	80	1	1	1	125	61	12	12	108	0	0	0	0	0	0
1471	32	1	2005	8	22	88	1	1	1	191	90	16	16	200	0	0	0	0	0	0
1471	32	1	2005	8	22	96	1	1	1	159	87	16	16	176.499291783282	0	0	0	0	0	0
1471	32	1	2005	8	22	104	1	1	1	150	91	14	14	144.499134945508	0	0	0	0	0	0
1471	32	1	2005	8	22	111	1	1	3	187	104	20	20	228.965062837106	0	0	0	0	0	0
1471	32	1	2005	8	22	113	1	1	3	188	90	22	22	229.486383038297	0	0	0	0	0	0
1471	32	2	2008	5	13	3	1	1	1	123	47	15	14	133.454111963626	0	0	0	0	0	0
1471	32	2	2008	5	13	4	1	1	1	160	74	19	17	144.478372083852	0	0	0	0	0	0
1471	32	2	2008	5	13	12	1	1	1	180	91	17	21	187.989361401118	0	0	0	0	0	0
1471	32	2	2008	5	13	20	1	1	1	166	85	26	22	176.974574445032	0	0	0	0	0	0
1471	32	2	2008	5	13	28	1	1	1	178	93	18	23	180.499307477896	0	0	0	0	0	0
1471	32	2	2008	5	13	32	1	1	3	182	86	24	27	263.499525616271	0	0	0	0	0	0
